sku,description,subcat_1,subcat_2,subcat_3,subcat_4,subcat_5,subcat_6,calc_include,calslot_1,calslot_2,calslot_3,retail_price_inc_gst,category_slug,image_url,Notes
08SLG-1000,"Master Range 8mm toughened glass pool fence gate, 1000mm wide x 1200H, the widest budget glass gate in the master-range.",,,,,,,FALSE,,,,61.55,pool-fencing-glass-spigots,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/08SLG-1000.png,duplicate entry
GLOVE,"Pair of safety gloves in size M/L — cut-resistant gloves for handling glass panels, stainless edges and steel pickets.",,,,,,,,,,,9.2,pool-fencing-glass-spigots,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/GLOVE.JPG,
MOD-M8-BRN,"M8 nut-sert (blind rivet nut insert) for round and square stainless posts, paired with an M8 hex-socket cap screw to attach a glass clamp; specialised insert tool required.",Clamps,Clamp Accessories,Nutsert,,,,FALSE,,,,0.54,pool-fencing-glass-spigots-clamps-clamp-accessories-nutsert,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/MOD-M8-BRN.JPG,
MOD-M8-CS,"M8 x 20mm hex-socket cap screw in 304 stainless steel, used with the MOD-M8-BRN nut-sert to attach a glass clamp to a stainless post.",Clamps,Clamp Accessories,Nutsert,,,,FALSE,,,,0.75,pool-fencing-glass-spigots-clamps-clamp-accessories-nutsert,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/MOD-M8-CS.JPG,
GC-D-FB-B,"D-shaped glass clamp with flat back in matt black, two-piece pull-apart construction, fixes through the back to timber, masonry or a stainless post via a nut-sert and socket-head screw.",Clamps,D Clamps,Flat Back,,,,FALSE,,,,23.5,pool-fencing-glass-spigots-clamps-d-flat-back,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/GC-D-FB-B.JPG,
GC-D-FB-P,"D-shaped glass clamp with flat back in polished stainless, two-piece pull-apart construction, fixes through the back to timber, masonry or a stainless post via a nut-sert and socket-head screw.",Clamps,D Clamps,Flat Back,,,,FALSE,,,,19.86,pool-fencing-glass-spigots-clamps-d-flat-back,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/GC-D-FB-P.JPG,
GC-D-FB-S,"D-shaped glass clamp with flat back in satin stainless, two-piece pull-apart construction, fixes through the back to timber, masonry or a stainless post via a nut-sert and socket-head screw.",Clamps,D Clamps,Flat Back,,,,FALSE,,,,19.86,pool-fencing-glass-spigots-clamps-d-flat-back,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/GC-D-FB-S.JPG,
GC-D-RB-B,"D-shaped glass clamp with radius back to suit a 50mm round post, in matt black, two-piece pull-apart construction, fixes via a nut-sert and socket-head screw.",Clamps,D Clamps,Radius Back,,,,FALSE,,,,22.5,pool-fencing-glass-spigots-clamps-d-radius-back,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/GC-D-RB-B.JPG,
GC-D-RB-P,"D-shaped glass clamp with radius back to suit a 50mm round post, in polished stainless, two-piece pull-apart construction, fixes via a nut-sert and socket-head screw.",Clamps,D Clamps,Radius Back,,,,FALSE,,,,19.9,pool-fencing-glass-spigots-clamps-d-radius-back,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/GC-D-RB-P.JPG,
GC-D-RB-S,"D-shaped glass clamp with radius back to suit a 50mm round post, in satin stainless, two-piece pull-apart construction, fixes via a nut-sert and socket-head screw.",Clamps,D Clamps,Radius Back,,,,FALSE,,,,19.9,pool-fencing-glass-spigots-clamps-d-radius-back,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/GC-D-RB-S.JPG,
GC-D-SEAT-B,"D-clamp seating block in matt black, fits inside a D-series clamp at the bottom to stop glass slipping or at the top to stop rotation.",Clamps,D Clamps,Seat Plate,,,,FALSE,,,,4.55,pool-fencing-glass-spigots-clamps-d-seat-plate,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/GC-D-SEAT-B.JPG,
