sku,description,subcat_1,subcat_2,subcat_3,subcat_4,subcat_5,subcat_6,calc_include,calslot_1,calslot_2,calslot_3,retail_price_inc_gst,category_slug,image_url,Notes
CSK-050,50mm COUNTER SUNK BATTEN SCREW,Fixings & Grout,Fixings,,,,,FALSE,,,,0.72,pool-fencing-metal-premium-perf-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/CSK-050.JPG,"50x50 posts are missing from style for corners and gates, also side mounted posts are missing"
CSK-075,75mm COUNTER SUNK BATTEN SCREW,Fixings & Grout,Fixings,,,,,FALSE,,,,0.85,pool-fencing-metal-premium-perf-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/csk-075.JPG,
CSK-100-4PK,100mm COUNTER SUNK SCREW - 4 PACK,Fixings & Grout,Fixings,,,,,TRUE,timber fixing base plated,,,9.96,pool-fencing-metal-premium-perf-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/csk-100-4pk.JPG,
PP-SCREW-B-50PK,"Premium Perf 10g x 16mm 304 stainless tek screws in matt black, 50-pack, used for perimeter and post fixings on Premium Perf balustrade assemblies.",Fixings & Grout,Fixings,,,,,,,,,8.49,pool-fencing-metal-premium-perf-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/PP-SCREW-B-50PK.JPG,
PP-SCREW-MN-50PK,"Premium Perf 10g x 16mm 304 stainless tek screws in Monument, 50-pack, used for perimeter and post fixings on Premium Perf balustrade assemblies.",Fixings & Grout,Fixings,,,,,,,,,8.49,pool-fencing-metal-premium-perf-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/PP-SCREW-MN-50PK.JPG,
S-110LAG-4PK,"M10 x 110mm timber lag screws in SS316, 4-pack with nuts and washers — fixing for Premium Perf base-plated posts to timber substrates.",Fixings & Grout,Fixings,,,,,TRUE,"Side mount post for timber
Side mount post for concrete
pair with side mount post fixings 4x per 4 pack",,,13.9,pool-fencing-metal-premium-perf-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/S-110LAG-4PK.JPG,
S-120ROD-4PK,"M10 x 120mm concrete threaded rods in SS316, 4-pack with nuts and washers — fixing for Premium Perf base-plated posts to concrete via chemical anchor.",Fixings & Grout,Fixings,,,,,TRUE,Side mount post for concrete,,,10.6,pool-fencing-metal-premium-perf-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/S-120ROD-4PK.JPG,
S-M10DN-4PK,M10 DOME NUT with WASHER - SS316 - 4pk,Fixings & Grout,Fixings,,,,,TRUE,pair with side mount post fixings 4x per 4 pack,,,2.65,pool-fencing-metal-premium-perf-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/s-m10dn-4pk.JPG,
SS-TS-100-B,"Six Star self-drilling tek screws, 100-pack in black painted finish — colour-matched fixings for tubular pool-fence brackets, shrouds and gate hardware.",Fixings & Grout,Fixings,,,,,FALSE,,,,15.9,pool-fencing-metal-premium-perf-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/ss-ts-100-b.JPG,
SS-TS-100-MN,"Six Star self-drilling tek screws, 100-pack in monument painted finish — colour-matched fixings for tubular pool-fence brackets, shrouds and gate hardware.",Fixings & Grout,Fixings,,,,,,,,,15.9,pool-fencing-metal-premium-perf-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/ss-ts-100-mn.JPG,
