code,selectionId,description,category,subcategory,price,weight,dimensions,units,active,tags,notes,imageUrl

GLASS-12MM-POOL,pool_fencing_frameless_glass_12mm_standard,"12mm Toughened Glass Panel - Pool Fencing (970mm height)",Frameless Pool Fence,12mm 1200 Glass Panels Standard,420,,,"sqm",true,"glass,pool,12mm","12mm toughened glass for pool fencing, 970mm height, widths 300-1500mm",
GLASS-15MM-POOL,pool_fencing_frameless_glass_15mm_standard,"15mm Toughened Glass Panel - Pool Fencing (1000mm height)",Frameless Pool Fence,Glass Panels Standard,485,,,"sqm",true,"glass,pool,15mm","15mm toughened glass for pool fencing, 1000mm height, widths 300-1400mm",
GLASS-RAKED-1400,pool_fencing_frameless_raked_1400mm,"Raked Glass Panel - 1400mm height (1200mm width)",Frameless Pool Fence,Glass Panels Raked,545,,,"ea",true,"glass,raked,1400mm","Raked panel 1400mm height, fixed 1200mm width",
GLASS-RAKED-1500,pool_fencing_frameless_raked_1500mm,"Raked Glass Panel - 1500mm height (1200mm width)",Frameless Pool Fence,Glass Panels Raked,575,,,"ea",true,"glass,raked,1500mm","Raked panel 1500mm height, fixed 1200mm width",
GLASS-RAKED-1600,pool_fencing_frameless_raked_1600mm,"Raked Glass Panel - 1600mm height (1200mm width)",Frameless Pool Fence,Glass Panels Raked,605,,,"ea",true,"glass,raked,1600mm","Raked panel 1600mm height, fixed 1200mm width",
GLASS-RAKED-1700,pool_fencing_frameless_raked_1700mm,"Raked Glass Panel - 1700mm height (1200mm width)",Frameless Pool Fence,Glass Panels Raked,635,,,"ea",true,"glass,raked,1700mm","Raked panel 1700mm height, fixed 1200mm width",
GLASS-RAKED-1800,pool_fencing_frameless_raked_1800mm,"Raked Glass Panel - 1800mm height (1200mm width)",Frameless Pool Fence,Glass Panels Raked,665,,,"ea",true,"glass,raked,1800mm","Raked panel 1800mm height, fixed 1200mm width",
SPIGOT-CD-POL,pool_fencing_frameless_spigot_core_polished,"Polished Stainless Steel Spigot - Core Drilled",Frameless Pool Fence,12mm Spigots Core,58,,,"ea",true,"spigot,polished,core-drilled","Core drilled spigot, polished finish",
SPIGOT-CD-SAT,pool_fencing_frameless_spigot_core_satin,"Satin Stainless Steel Spigot - Core Drilled",Frameless Pool Fence,12mm Spigots Core,54,,,"ea",true,"spigot,satin,core-drilled","Core drilled spigot, satin finish",
SPIGOT-CD-BLK,pool_fencing_frameless_spigot_core_black,"Black Stainless Steel Spigot - Core Drilled",Frameless Pool Fence,12mm Spigots Core,61,,,"ea",true,"spigot,black,core-drilled","Core drilled spigot, black finish",
SPIGOT-CD-WHT,pool_fencing_frameless_spigot_core_white,"White Stainless Steel Spigot - Core Drilled",Frameless Pool Fence,12mm Spigots Core,61,,,"ea",true,"spigot,white,core-drilled","Core drilled spigot, white finish",
SPIGOT-BP-POL,pool_fencing_frameless_spigot_base_polished,"Polished Stainless Steel Spigot - Base Plate Mount",Frameless Pool Fence,12mm Spigots Base,62,,,"ea",true,"spigot,polished,base-plate","Base plate mounted spigot, polished finish",
SPIGOT-BP-SAT,pool_fencing_frameless_spigot_base_satin,"Satin Stainless Steel Spigot - Base Plate Mount",Frameless Pool Fence,12mm Spigots Base,58,,,"ea",true,"spigot,satin,base-plate","Base plate mounted spigot, satin finish",
SPIGOT-BP-BLK,pool_fencing_frameless_spigot_base_black,"Black Stainless Steel Spigot - Base Plate Mount",Frameless Pool Fence,12mm Spigots Base,65,,,"ea",true,"spigot,black,base-plate","Base plate mounted spigot, black finish",
SPIGOT-BP-WHT,pool_fencing_frameless_spigot_base_white,"White Stainless Steel Spigot - Base Plate Mount",Frameless Pool Fence,12mm Spigots Base,65,,,"ea",true,"spigot,white,base-plate","Base plate mounted spigot, white finish",
