sku,description,subcat_1,subcat_2,subcat_3,subcat_4,subcat_5,subcat_6,calc_include,calslot_1,calslot_2,calslot_3,retail_price_inc_gst,category_slug,image_url,Notes
DB-PH3,AIRE Phillips #3 driver bit; suits a variety of Phillips-head screws used in AIRE balustrade installation.,Fixings,,,,,,,,,,2.85,balustrade-metal-premium-perf-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/DB-PH3.JPG,
DB-SQ3.4,AIRE square-head driver bit (SQ3.4); suits the square-drive panhead and picket screws used in AIRE balustrade installation.,Fixings,,,,,,,,,,3.6,balustrade-metal-premium-perf-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/DB-SQ3.4.JPG,
S-110LAG-4PK,"M10 x 110mm timber lag screws in SS316, 4-pack with nuts and washers — fixing for Premium Perf base-plated posts to timber substrates.",Fixings,,,,,,TRUE,"Side mount post for timber
Side mount post for concrete
pair with side mount post fixings 4x per 4 pack",,,13.9,balustrade-metal-premium-perf-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/S-110LAG-4PK.JPG,
S-120ROD-4PK,"M10 x 120mm concrete threaded rods in SS316, 4-pack with nuts and washers — fixing for Premium Perf base-plated posts to concrete via chemical anchor.",Fixings,,,,,,TRUE,Side mount post for concrete,,,10.6,balustrade-metal-premium-perf-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/S-120ROD-4PK.JPG,
PP-BAL-FRAMEKIT-B,"Premium Perf balustrade 38 x 25mm aluminium frame kit in matt black, builds around a perf infill panel and attaches it to the balustrade posts.",Premium Perf Panels,,,,,,,,,,118.55,balustrade-metal-premium-perf-panels,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/PP-BAL-FRAMEKIT-B.JPG,
PP-BAL-FRAMEKIT-MN,"Premium Perf balustrade 38 x 25mm aluminium frame kit in Monument, builds around a perf infill panel and attaches it to the balustrade posts.",Premium Perf Panels,,,,,,,,,,118.55,balustrade-metal-premium-perf-panels,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/PP-BAL-FRAMEKIT-MN.JPG,
PP-BAL-INFILL-B,"Premium Perf balustrade infill panel, 1726 x 988mm in matt black, sits inside a Premium Perf balustrade frame kit.",Premium Perf Panels,,,,,,,,,,283.6,balustrade-metal-premium-perf-panels,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/PP-BAL-INFILL-B.JPG,
PP-BAL-INFILL-MN,"Premium Perf balustrade infill panel, 1726 x 988mm in Monument, sits inside a Premium Perf balustrade frame kit.",Premium Perf Panels,,,,,,,,,,283.6,balustrade-metal-premium-perf-panels,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/PP-BAL-INFILL-MN.JPG,
PP-PANEL-TRANS-B,"Premium Perf transition panel, 1288 wide x 1888H, in matt black aluminium, taller panel for transitions to higher ground or different fence type.",Premium Perf Panels,,,,,,,,,,432.95,balustrade-metal-premium-perf-panels,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/PP-PANEL-TRANS-B.JPG,
PP-PANEL-TRANS-MN,"Premium Perf transition panel, 1288 wide x 1888H, in Monument aluminium, taller panel for transitions to higher ground or different fence type.",Premium Perf Panels,,,,,,,,,,432.95,balustrade-metal-premium-perf-panels,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/PP-PANEL-TRANS-MN.JPG,
PP-TRANSKIT-B,"Premium Perf transition frame kit, 38 x 25mm aluminium in matt black, sized to house the PP-PANEL-TRANS transition panel.",Premium Perf Panels,,,,,,,,,,175,balustrade-metal-premium-perf-panels,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/PP-TRANSKIT-B.JPG,
PP-TRANSKIT-MN,"Premium Perf transition frame kit, 38 x 25mm aluminium in Monument, sized to house the PP-PANEL-TRANS transition panel.",Premium Perf Panels,,,,,,,,,,175,balustrade-metal-premium-perf-panels,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/PP-TRANSKIT-MN.JPG,
A50-1400-INF-B,AIRE 1400mm long 21 x 12mm aluminium infill / spacer in Black finish; sits in the undercapping rail to space and lock balusters in inline or raked AIRE handrail runs.,Posts,,,,,,,,,,5.17,balustrade-metal-premium-perf-posts,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/A50-1400-INF-B.JPG,
A50-1400-INF-MN,AIRE 1400mm long 21 x 12mm aluminium infill / spacer in Monument finish; sits in the undercapping rail to space and lock balusters in inline or raked AIRE handrail runs.,Posts,,,,,,,,,,5.17,balustrade-metal-premium-perf-posts,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/A50-1400-INF-MN.JPG,
A50-1400D-HALF-B,"Half post, 1400mm long in satin black powder-coated aluminium — 50x25x3mm Alloy 6106 T6, screw-fixes sideways to wall/post at start or end of a balustrade run.",Posts,,,,,,,,,,35.4,balustrade-metal-premium-perf-posts,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/A50-1400D-HALF-B.JPG,
A50-1400D-HALF-MN,AIRE 1400mm long 50 x 25 x 3mm half post in Monument finish; used to terminate a balustrade run against a wall or sit flush against an obstruction.,Posts,,,,,,,,,,35.4,balustrade-metal-premium-perf-posts,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/A50-1400D-HALF-MN.JPG,
A50-5800D-HALF-B,AIRE 5800mm long 50 x 25 x 3mm half post in Black finish; cut to length to terminate balustrade runs against walls or obstructions.,Posts,,,,,,,,,,119.8,balustrade-metal-premium-perf-posts,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/A50-5800D-HALF-B.JPG,
A50-5800D-HALF-MN,AIRE 5800mm long 50 x 25 x 3mm half post in Monument finish; cut to length to terminate balustrade runs against walls or obstructions.,Posts,,,,,,,,,,119.8,balustrade-metal-premium-perf-posts,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/A50-5800D-HALF-MN.JPG,
AR-1050-FPBP-B,"AIRE 1050mm high 50 x 50mm post with welded 100 x 100mm base plate, Black finish; surface-mount post for top-of-deck or top-of-slab AIRE balustrade installations.",Posts,,,,,,,,,,58.5,balustrade-metal-premium-perf-posts,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/AR-1050-FPBP-B.JPG,
AR-1050-FPBP-MN,"AIRE 1050mm high 50 x 50mm post with welded 100 x 100mm base plate, Monument finish; surface-mount post for top-of-deck or top-of-slab AIRE balustrade installations.",Posts,,,,,,,,,,58.5,balustrade-metal-premium-perf-posts,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/AR-1050-FPBP-MN.JPG,
