code,description,category,subcategory,price,active
FPF-GP-12,12mm Glass Panel,Frameless Pool Fence,Glass Panels,250.00,1
FPF-SPIG-100,Spigot Post 100mm,Frameless Pool Fence,Spigots,45.00,1
FPF-MHP-900,Master Hinge Panel 900mm,Frameless Pool Fence,Master Hinge Panels,320.00,1
FPF-MGP-900,Master Gate Panel 900mm,Frameless Pool Fence,Master Gate Panels,340.00,1
FPF-SCHP-1200,Soft Close Hinge Panel 1200mm,Frameless Pool Fence,Soft Close Hinge Panels,335.00,1
FPF-SCG-900,Soft Close Gate 900mm,Frameless Pool Fence,Soft Close Gates,380.00,1
FPF-RP-2400,Raked Panel 2400mm,Frameless Pool Fence,Raked Panels,290.00,1
FPF-GHM,Gate Hinge Master,Frameless Pool Fence,Gate Hinges Master,85.00,1
FPF-GHSC,Gate Hinge Soft Close,Frameless Pool Fence,Gate Hinges Soft Close,125.00,1
FPF-GGL,Glass Gate Latch,Frameless Pool Fence,Glass Gate Latches,95.00,1
CPF-GP-12,12mm Glass Panel,Channel Pool Fence,Glass Panels,240.00,1
CPF-CHAN-3M,Aluminium Channel 3m,Channel Pool Fence,Channel,89.00,1
CPF-CLAMP,Channel Clamp,Channel Pool Fence,Channel Clamps,12.50,1
CPF-CHACC,Channel End Cap,Channel Pool Fence,Channel Accessories,8.00,1
CPF-MHP-900,Master Hinge Panel 900mm,Channel Pool Fence,Master Hinge Panels,315.00,1
CPF-MGP-900,Master Gate Panel 900mm,Channel Pool Fence,Master Gate Panels,335.00,1
CPF-SCHP-1200,Soft Close Hinge Panel 1200mm,Channel Pool Fence,Soft Close Hinge Panels,330.00,1
CPF-SCG-900,Soft Close Gate 900mm,Channel Pool Fence,Soft Close Gates,375.00,1
CPF-RP-2400,Raked Panel 2400mm,Channel Pool Fence,Raked Panels,285.00,1
CPF-GHM,Gate Hinge Master,Channel Pool Fence,Gate Hinges Master,85.00,1
CPF-GHSC,Gate Hinge Soft Close,Channel Pool Fence,Gate Hinges Soft Close,125.00,1
CPF-GGL,Glass Gate Latch,Channel Pool Fence,Glass Gate Latches,95.00,1
FTP-PANEL-2400,Flat Top Panel 2400mm,Flat Top Pool Fence,Flat Top Panels,280.00,1
FTP-POST-2100,Flat Top Post 2100mm,Flat Top Pool Fence,Flat Top Posts,125.00,1
FTP-GATE-900,Flat Top Gate 900mm,Flat Top Pool Fence,Flat Top Gates,395.00,1
FTP-SHROUD,Post Shroud,Flat Top Pool Fence,Post Shrouds,45.00,1
FTP-ACC-CAP,Flat Top End Cap,Flat Top Pool Fence,Flat Top Accessories,15.00,1
FTP-HINGE,Flat Top Hinge Set,Flat Top Pool Fence,Flat Top Hinges,95.00,1
FTP-LATCH,Flat Top Gate Latch,Flat Top Pool Fence,Flat Top Latches,110.00,1
BPF-P1200,BARR Panel 1200mm High,BARR Pool Fence,Barr Panels 1200,195.00,1
BPF-POST,BARR Post 2100mm,BARR Pool Fence,Barr Posts,98.00,1
BPF-GATE,BARR Gate 1000mm,BARR Pool Fence,Barr Gates,345.00,1
BPF-SHROUD,BARR Post Shroud,BARR Pool Fence,Barr Shrouds,42.00,1
BPF-ACC,BARR Mounting Bracket,BARR Pool Fence,Barr Accessories,28.00,1
BPF-HINGE,BARR Gate Hinge,BARR Pool Fence,Barr Hinges,75.00,1
BPF-LATCH,BARR Gate Latch,BARR Pool Fence,Barr Latches,95.00,1
BLPF-P1200,Blade Panel 1200mm High,Blade Pool Fence,Blade Panels 1200,210.00,1
BLPF-POST,Blade Post 2100mm,Blade Pool Fence,Blade Posts,105.00,1
BLPF-GATE,Blade Gate 1000mm,Blade Pool Fence,Blade Gates,365.00,1
BLPF-SHROUD,Blade Post Shroud,Blade Pool Fence,Blade Shrouds,45.00,1
BLPF-ACC,Blade Mounting Bracket,Blade Pool Fence,Blade Accessories,32.00,1
BLPF-HINGE,Blade Gate Hinge,Blade Pool Fence,Blade Hinges,85.00,1
BLPF-LATCH,Blade Gate Latch,Blade Pool Fence,Blade Latches,105.00,1
FBL-GP12-970,Glass Panel 12mm 970mm High,Frameless Balustrade,Glass Panels 12mm 970,220.00,1
FBL-GP15-1000,Glass Panel 15mm 1000mm High,Frameless Balustrade,Glass Panels 15mm 1000,280.00,1
