sku,description,subcat_1,subcat_2,subcat_3,subcat_4,subcat_5,subcat_6,calc_include,calslot_1,calslot_2,calslot_3,retail_price_inc_gst,category_slug,image_url,Notes
CSK-050,50mm COUNTER SUNK BATTEN SCREW,Fixings & Grout,Fixings,,,,,FALSE,,,,0.72,pool-fencing-metal-blade-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/CSK-050.JPG,"50x50 posts are missing from style for corners and gates, also side mounted posts are missing"
CSK-075,75mm COUNTER SUNK BATTEN SCREW,Fixings & Grout,Fixings,,,,,FALSE,,,,0.85,pool-fencing-metal-blade-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/csk-075.JPG,
CSK-100-4PK,100mm COUNTER SUNK SCREW - 4 PACK,Fixings & Grout,Fixings,,,,,TRUE,timber fixing base plated,,,9.96,pool-fencing-metal-blade-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/csk-100-4pk.JPG,
S-110LAG-4PK,"M10 x 110mm timber lag screws in SS316, 4-pack with nuts and washers — fixing for Premium Perf base-plated posts to timber substrates.",Fixings & Grout,Fixings,,,,,TRUE,"Side mount post for timber
Side mount post for concrete
pair with side mount post fixings 4x per 4 pack",,,13.9,pool-fencing-metal-blade-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/S-110LAG-4PK.JPG,
S-120ROD-4PK,"M10 x 120mm concrete threaded rods in SS316, 4-pack with nuts and washers — fixing for Premium Perf base-plated posts to concrete via chemical anchor.",Fixings & Grout,Fixings,,,,,TRUE,Side mount post for concrete,,,10.6,pool-fencing-metal-blade-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/S-120ROD-4PK.JPG,
S-M10DN-4PK,M10 DOME NUT with WASHER - SS316 - 4pk,Fixings & Grout,Fixings,,,,,TRUE,pair with side mount post fixings 4x per 4 pack,,,2.65,pool-fencing-metal-blade-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/s-m10dn-4pk.JPG,
SS-TS-100-B,"Six Star self-drilling tek screws, 100-pack in black painted finish — colour-matched fixings for tubular pool-fence brackets, shrouds and gate hardware.",Fixings & Grout,Fixings,,,,,FALSE,,,,15.9,pool-fencing-metal-blade-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/ss-ts-100-b.JPG,
GROUT-BOS,BOSTIK Grout HES - 20Kg Bag,Fixings & Grout,Grout,,,,,FALSE,,,,72.2,pool-fencing-metal-blade-fixings-and-grout-grout,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/GROUT-BOS.JPG,
GROUT-SETFAST-10KG,Fast Setting Pourable Grout - 10kg bag,Fixings & Grout,Grout,,,,,TRUE,core dilled posts,,,45.4,pool-fencing-metal-blade-fixings-and-grout-grout,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/GROUT-SETFAST-10KG.JPG,
GROUT-SIKA,Sika Grout HES - 20Kg Bag,Fixings & Grout,Grout,,,,,FALSE,,,,64.96,pool-fencing-metal-blade-fixings-and-grout-grout,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/grout-sika.JPG,
BLA-1200-GC-2PK-B,"Blade 1200H gate converter kit in matt black aluminium, makes a custom-width gate from a Blade panel offcut.",Gates,Gate Converter,,,,,,,,,113.95,pool-fencing-metal-blade-gates-gate-converter,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/BLA-1200-GC-2PK-B.JPG,
BLA-GATE-0975-1200-B,"Blade pool fence gate, 975mm wide x 1200mm high, in matt black aluminium blade construction.",Gates,Gate Panel,,,,,,,,,193.45,pool-fencing-metal-blade-gates-gate-panel,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/BLA-GATE-0975-1200-B.JPG,
KF-H-FT,"D&D KwikFit™ polymer hinge SET with FIXED tension (factory pre-set, no field adjustment).",Hinges & Latches,,,,,,FALSE,,,,19.1,pool-fencing-metal-blade-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/KF-H-FT.JPG,
ML-TL-KF-H-FT,D&D MagnaLatch Top Pull + KwikFit Fixed Tension hinge KIT — complete pool gate hardware (latch + hinge pair).,Hinges & Latches,,,,,,FALSE,,,,93.45,pool-fencing-metal-blade-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/ML-TL-KF-H-FT.JPG,
ML-TL-TC-H-AT,"D&D premium hinge + latch set for aluminium flat-top pool gates — Magna Latch top-pull and matched Tru-Close self-closing hinges, AS1926.1-2012 compliant.",Hinges & Latches,,,,,,TRUE,Hinge & Latch kit for monument and black ,,,115.95,pool-fencing-metal-blade-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/ML-TL-TC-H-AT.JPG,
